Nama Siswa;Prob_Auditori;Prob_Kinestetik;Prob_Visual;Prediksi
Nis**** Nai** Sal******;0.0;0.0;1.0;Visual
Nis**** Nai** Sal******;0.0;0.0;1.0;Visual
Nis**** Nai** Sal******;0.0;0.0;1.0;Visual
Nis**** Nai** Sal******;0.0;0.0;1.0;Visual
Nis**** Nai** Sal******;0.0;0.0;1.0;Visual
Qey** Ram***** Ang**** Put**;0.0001;0.0;0.9999;Visual
Qey** Ram***** Ang**** Put**;0.0048;0.0;0.9952;Visual
Qey** Ram***** Ang**** Put**;0.0002;0.0;0.9998;Visual
Qey** Ram***** Ang**** Put**;0.0001;0.0;0.9999;Visual
Qey** Ram***** Ang**** Put**;0.0002;0.0;0.9998;Visual
Rad**** Sal******* Mic***** Azi***;0.0;0.0;1.0;Visual
Rad**** Sal******* Mic***** Azi***;0.0;0.0029;0.997;Visual
Rad**** Sal******* Mic***** Azi***;0.0;0.0;1.0;Visual
Rad**** Sal******* Mic***** Azi***;0.0;0.0;1.0;Visual
Rad**** Sal******* Mic***** Azi***;0.0;0.0;1.0;Visual
Raf*** Bel**;0.0;0.0;1.0;Visual
Raf*** Bel**;0.0;0.0;1.0;Visual
Raf*** Bel**;0.0;0.0001;0.9999;Visual
Raf*** Bel**;0.0;0.0;1.0;Visual
Raf*** Bel**;0.0;0.0;1.0;Visual
Ris* Nur** Fad****;0.0001;0.0;0.9999;Visual
Ris* Nur** Fad****;0.0;0.0;1.0;Visual
Ris* Nur** Fad****;0.0;0.0;1.0;Visual
Ris* Nur** Fad****;0.0;0.0;1.0;Visual
Ris* Nur** Fad****;0.0;0.0003;0.9997;Visual
Sep**** Rah*******;0.0;0.0;1.0;Visual
Sep**** Rah*******;0.0;0.0;1.0;Visual
Sep**** Rah*******;0.0;0.0;1.0;Visual
Sep**** Rah*******;0.0;0.0003;0.9997;Visual
Sep**** Rah*******;0.0;0.0;1.0;Visual
Sit* Wul******;0.0001;0.0013;0.9986;Visual
Sit* Wul******;0.0;0.0001;0.9999;Visual
Sit* Wul******;0.0;0.0004;0.9996;Visual
Sit* Wul******;0.0;0.0;1.0;Visual
Sit* Wul******;0.0;0.0001;0.9999;Visual
Suc* Rah******;0.0;0.0079;0.9921;Visual
Suc* Rah******;0.0033;0.0183;0.9784;Visual
Suc* Rah******;0.0014;0.0001;0.9985;Visual
Suc* Rah******;0.0;0.0;1.0;Visual
Suc* Rah******;0.0003;0.0062;0.9935;Visual
Yul*** Ris** Fer*****;0.0;0.0;1.0;Visual
Yul*** Ris** Fer*****;0.0;0.0;1.0;Visual
Yul*** Ris** Fer*****;0.0;0.0;1.0;Visual
Yul*** Ris** Fer*****;0.0;0.0;1.0;Visual
Yul*** Ris** Fer*****;0.0;0.0;1.0;Visual
Zul** Riz**** Put**;0.0001;0.0;0.9999;Visual
Zul** Riz**** Put**;0.0;0.0;1.0;Visual
Zul** Riz**** Put**;0.0;0.0;1.0;Visual
Zul** Riz**** Put**;0.0;0.0;1.0;Visual
Zul** Riz**** Put**;0.0;0.0;1.0;Visual
Ach*** Pri** Set*****;0.0;0.0002;0.9998;Visual
Ach*** Pri** Set*****;0.0;0.0;1.0;Visual
Ach*** Pri** Set*****;0.0;0.0;1.0;Visual
Ach*** Pri** Set*****;0.0;0.0;1.0;Visual
Ach*** Pri** Set*****;0.0001;0.0;0.9999;Visual
Jih* Mua*** Fan* Apr*****;0.0;0.0;1.0;Visual
Jih* Mua*** Fan* Apr*****;0.0;0.0;1.0;Visual
Jih* Mua*** Fan* Apr*****;0.0002;0.0;0.9998;Visual
Jih* Mua*** Fan* Apr*****;0.0;0.0;1.0;Visual
Jih* Mua*** Fan* Apr*****;0.0;0.0;1.0;Visual
Kya**** Ros**** Put*** Nug****;0.0;0.0;1.0;Visual
Kya**** Ros**** Put*** Nug****;0.0;0.0;1.0;Visual
Kya**** Ros**** Put*** Nug****;0.0;0.0;1.0;Visual
Kya**** Ros**** Put*** Nug****;0.0;0.0;1.0;Visual
Kya**** Ros**** Put*** Nug****;0.0;0.0;1.0;Visual
Muh***** Wha****** Akm**;0.0;0.0;1.0;Visual
Muh***** Wha****** Akm**;0.0;0.0;1.0;Visual
Muh***** Wha****** Akm**;0.0;0.0;1.0;Visual
Muh***** Wha****** Akm**;0.0;0.0;1.0;Visual
Muh***** Wha****** Akm**;0.0;0.0;1.0;Visual
Sov*** Han***** Nur Rah**;0.0;0.0;1.0;Visual
Sov*** Han***** Nur Rah**;0.0;0.0;1.0;Visual
Sov*** Han***** Nur Rah**;0.0;0.0;1.0;Visual
Sov*** Han***** Nur Rah**;0.0;0.0;1.0;Visual
Sov*** Han***** Nur Rah**;0.0;0.0;1.0;Visual
Tsa*** Azk* Qut***** Nid*;0.0;0.0004;0.9996;Visual
Tsa*** Azk* Qut***** Nid*;0.0;0.0;1.0;Visual
Tsa*** Azk* Qut***** Nid*;0.0;0.0001;0.9999;Visual
Tsa*** Azk* Qut***** Nid*;0.0;0.0003;0.9997;Visual
Tsa*** Azk* Qut***** Nid*;0.0;0.0;1.0;Visual
